week_start_date,pillar,track,goal_title,goal_description,priority,time_estimate_mins,parent_90day_goal,status,notes
2026-07-27,People,,,,,,,,
2026-07-27,Personal Development,,,,,,,,
2026-07-27,Physical Environment,,,,,,,,
2026-08-03,Profit,,,,,,,,
2026-08-03,Promise,,Make the white paper publish-ready,Final polish; Optopia-branded; ready to drop in the deadline-day references.,1,90,Publish PR29 delivery white paper,not_started,
2026-08-03,Promise,,Watch DCAF / assured-progress-report developments,Identify the key references to cite ahead of 17 Aug.,2,30,Publish PR29 delivery white paper,not_started,
2026-08-03,Promise,,Short post,Maintain cadence.,3,30,Build Optopia thought leadership,not_started,
2026-08-03,Personal,,,,,,,,
2026-08-03,People,,,,,,,,
2026-08-03,Personal Development,,,,,,,,
2026-08-03,Physical Environment,,,,,,,,
2026-08-10,Profit,,,,,,,,
2026-08-10,Promise,,Seed the white paper argument with a short post,Prime the audience ahead of the 17 Aug deadline.,1,30,Build Optopia thought leadership,not_started,
2026-08-10,Promise,,Confirm the white paper needs only deadline-day references,Final readiness check.,2,20,Publish PR29 delivery white paper,not_started,
2026-08-10,Personal,,,,,,,,
2026-08-10,People,,,,,,,,
2026-08-10,Personal Development,,,,,,,,
2026-08-10,Physical Environment,,,,,,,,
2026-08-17,Profit,,,,,,,,
2026-08-17,Promise,,Publish the PR29 delivery white paper,Fill in final references and publish within a few working days of the 17 Aug deadline. First-mover advantage on the assured-progress-report moment.,1,90,Publish PR29 delivery white paper,not_started,
2026-08-17,Promise,,Send the white paper personally to key contacts,"Helen/Kate/Afsal (Agilia), QASR, festival contacts, CPC - specific relevance each (DM quality framework).",2,45,Build Optopia thought leadership,not_started,
2026-08-17,Promise,,Apply the post-content engagement system,"Qualify, connect, and DM engagers within 48 hours; capture in the tracker.",2,45,Build Optopia thought leadership,not_started,
2026-08-17,Personal,,,,,,,,
2026-08-17,People,,,,,,,,
2026-08-17,Personal Development,,,,,,,,
2026-08-17,Physical Environment,,,,,,,,
2026-08-24,Profit,Pipeline,Qualify conversations the white paper opens,"Use structured questions, not a pitch; log opportunities in the tracker.",1,45,Diversify pipeline beyond Agilia,not_started,
2026-08-24,Promise,,Follow up all white paper engagements,Follow up qualified engagements within 48 hours; capture in the tracker.,2,45,Build Optopia thought leadership,not_started,
2026-08-24,Promise,,Short post building on the white paper,Extend the conversation the paper started.,3,30,Build Optopia thought leadership,not_started,
2026-08-24,Personal,,,,,,,,
2026-08-24,People,,,,,,,,
2026-08-24,Personal Development,,,,,,,,
2026-08-24,Physical Environment,,,,,,,,
2026-08-31,Profit,Pipeline,Pipeline review into the final stretch,Take stock of all three tracks heading into quarter end.,2,30,Diversify pipeline beyond Agilia,not_started,
2026-08-31,Profit,,Confirm 3 IWO targets and openers,"Bob Taylor (Portsmouth Water, warm validator), David Hinton (South East Water, target), a regulator (Rink or Fletcher); review recent activity.",1,45,Convert events into water-company relationships,not_started,
2026-08-31,Profit,,Prioritise IWO sessions,'Delivering our Promises to Rebuild Trust' and 'Regulation is Our Friend'.,3,15,Convert events into water-company relationships,not_started,
2026-08-31,Promise,,,,,,,,
2026-08-31,Personal,,,,,,,,
2026-08-31,People,,,,,,,,
2026-08-31,Personal Development,,,,,,,,
2026-08-31,Physical Environment,,,,,,,,
2026-09-07,Profit,,Finalise IWO logistics and openers,"17-18 Sept, overnight per budget; one-sentence answer and openers ready.",1,30,Convert events into water-company relationships,not_started,
2026-09-07,Promise,,Short post - preview IWO / continue the white paper thread,Maintain visibility ahead of the conference.,2,30,Build Optopia thought leadership,not_started,
2026-09-07,Personal,,,,,,,,
2026-09-07,People,,,,,,,,
2026-09-07,Personal Development,,,,,,,,
2026-09-07,Physical Environment,,,,,,,,
2026-09-14,Profit,,Write the end-of-quarter review,"RAG against the conversion goal: which tracks converted, what the two events generated, white paper performance; carry-forward into Oct-Dec.",2,60,Close out the conversion quarter,not_started,
2026-09-14,Profit,,Attend the IWO Annual Conference (both days),Attend as Optopia principal; deliberate hello to Bob Taylor; three target conversations over broad networking.,1,,Convert events into water-company relationships,not_started,
2026-09-14,Profit,,Follow up the 3 IWO targets within 48 hours,Specific reference to something discussed.,1,45,Convert events into water-company relationships,not_started,
2026-09-14,Promise,,,,,,,,
2026-09-14,Personal,,,,,,,,
2026-09-14,People,,,,,,,,
2026-09-14,Personal Development,,,,,,,,
2026-09-14,Physical Environment,,,,,,,,
